tipo,codigo,titulo,editorial,paginas,precio_base
1,3001,Batman Year One,DC,144,7200
2,3002,Watchmen,DC,416,9800
1,3003,Daredevil Born Again,Marvel,176,7600
2,3004,Civil War,Marvel,208,11200
1,3005,Batman The Killing Joke,DC,64,6900
2,3006,The Infinity Gauntlet,Marvel,256,10400
1,3007,Hellboy Seed of Destruction,Dark Horse,128,8100
2,3008,V for Vendetta,DC,296,11800
1,3009,Maus,Panthon,296,6500
2,3010,Old Man Logan,Marvel,224,10900
1,3011,Superman Red Son,DC,160,8300
2,3012,The Walking Dead Compendium One,Image,1088,12100
1,3013,Invincible Volume 1 Family Matters,Image,120,7800
2,3014,Batman The Long Halloween,DC,376,11600
1,3015,Saga Volume 1,Image,160,8000
2,3016,Kingdom Come,DC,232,10200
1,3017,Spider Man Blue,Marvel,144,7100
2,3018,Marvels,Marvel,208,13500
1,3019,The Sandman Preludes and Nocturnes,DC,240,8600
2,3020,X Men Days of Future Past,Marvel,144,10800
