tipo,codigo,ciudad,peso,costo_base
1,1001,Cordoba,4.5,5200
2,1002,Rosario,2.0,6100
1,1003,Mendoza,12.5,8400
2,1004,Cordoba,15.0,9200
1,1005,Salta,7.2,6800
2,1006,Buenos Aires,9.8,10500
1,1007,Rosario,18.3,11200
2,1008,Mendoza,5.5,7200
1,1009,Cordoba,3.1,4900
2,1010,Tucuman,11.4,8700
1,1011,Buenos Aires,22.0,13500
2,1012,Salta,6.7,7600
1,1013,Mendoza,10.0,7900
2,1014,Rosario,10.1,8100
1,1015,Tucuman,1.8,4300
2,1016,Cordoba,25.0,15000
1,1017,Salta,13.6,9500
2,1018,Buenos Aires,4.4,6900
1,1019,Rosario,8.0,7100
2,1020,Mendoza,17.2,11800
1,1021,Cordoba,6.0,6200
2,1022,Tucuman,3.5,5700
1,1023,Buenos Aires,14.9,10100
2,1024,Salta,20.5,12800
1,1025,Mendoza,9.9,7800
2,1026,Rosario,12.0,9000
1,1027,Cordoba,16.7,10900
2,1028,Buenos Aires,7.5,8300
1,1029,Tucuman,5.2,5900
2,1030,Salta,10.8,8600
1,1031,Rosario,2.7,4700
2,1032,Mendoza,19.0,12100
1,1033,Cordoba,11.0,8800
2,1034,Tucuman,8.6,7400
1,1035,Buenos Aires,24.0,14200
2,1036,Salta,4.9,6500
1,1037,Mendoza,7.8,7000
2,1038,Rosario,13.3,9700
1,1039,Cordoba,10.5,8200
2,1040,Buenos Aires,6.2,7300
