tipo,codigo,flor,color,cantidad,precio_unitario
1,4001,Rosa,Rojo,6,1200
2,4002,Lirio,Blanco,12,1500
1,4003,Tulipan,Amarillo,8,1100
2,4004,Rosa,Rosado,10,1300
1,4005,Margarita,Blanco,15,700
2,4006,Orquidea,Violeta,14,2200
1,4007,Girasol,Amarillo,5,1800
2,4008,Tulipan,Rojo,18,1250
1,4009,Lirio,Blanco,9,1450
2,4010,Rosa,Rojo,20,1350
1,4011,Clavel,Rosado,12,800
2,4012,Orquidea,Blanco,8,2300
1,4013,Margarita,Amarillo,20,750
2,4014,Girasol,Amarillo,12,1900
1,4015,Rosa,Blanco,7,1250
2,4016,Lirio,Violeta,16,1550
1,4017,Tulipan,Rosado,11,1150
2,4018,Clavel,Rojo,24,900
1,4019,Girasol,Amarillo,6,1750
2,4020,Orquidea,Violeta,15,2400
