tipo,codigo,titulo,genero,duracion,precio_base
1,2001,The Godfather,Drama,175,3200
2,2002,Oppenheimer,Drama,180,4500
1,2003,Toy Story,Animacion,81,2800
2,2004,Dune Part Two,Ciencia Ficcion,166,5200
1,2005,The Truman Show,Comedia,103,3000
2,2006,Top Gun Maverick,Accion,130,4800
1,2007,Shutter Island,Suspenso,138,3500
2,2008,Interstellar,Ciencia Ficcion,169,5600
1,2009,La La Land,Romance,128,3300
2,2010,Mad Max Fury Road,Accion,120,5000
1,2011,The Lion King,Animacion,88,2900
2,2012,Joker,Drama,122,4700
1,2013,Superbad,Comedia,113,3100
2,2014,Indiana Jones and the Last Crusade,Aventura,127,5100
1,2015,Free Solo,Documental,100,2700
2,2016,John Wick Chapter 4,Accion,169,4900
1,2017,Titanic,Romance,194,3400
2,2018,The Dark Knight,Accion,152,5300
1,2019,Jurassic Park,Aventura,127,3600
2,2020,Blade Runner 2049,Ciencia Ficcion,164,5500
